,Ticker,Date,N,MillisFromMidn,AskSize,AskPrice,BidSize,BidPrice,MidQuote,Returns
0,SUNW,20070620,0,34204000,1231,5.139999866485596,1071,5.130000114440918,5.134999990463257,
1,SUNW,20070620,25088,52204000,3938,5.110000133514404,3260,5.099999904632568,5.105000019073486,-0.00584
2,SUNW,20070621,0,34200000,1236,5.079999923706055,918,5.070000171661377,5.075000047683716,-0.00588
3,SUNW,20070621,32780,52200000,3283,5.159999847412109,5605,5.150000095367432,5.1549999713897705,0.01576
4,SUNW,20070622,0,34200000,1101,5.119999885559082,1124,5.110000133514404,5.115000009536743,-0.00776
5,SUNW,20070622,21231,52200000,3854,5.119999885559082,2923,5.110000133514404,5.115000009536743,0.0
0,ADP,20070620,0,34251000,1,48.95000076293945,3,48.900001525878906,48.92500114440918,
1,ADP,20070620,17920,52251000,2,48.599998474121094,16,48.58000183105469,48.59000015258789,-0.00685
2,ADP,20070621,0,34283000,6,48.47999954223633,20,48.400001525878906,48.44000053405762,-0.00309
3,ADP,20070621,17956,52283000,11,48.810001373291016,1,48.79999923706055,48.80500030517578,0.00754
4,ADP,20070622,0,34206000,5,48.70000076293945,25,48.540000915527344,48.6200008392334,-0.00379
5,ADP,20070622,21590,52206000,9,48.619998931884766,6,48.599998474121094,48.60999870300293,-0.00021
